SITE CODE= 8A4óOíJí¨êVí¨                ,38.1033,142.8600, 24,9.0,40613.6154873, 24.87, 42.94
 LAT.=   38.5401
 LON.=  141.1272
 SAMPLING RATE= 100Hz 
 UNIT  = gal(cm/s/s) 
INITIAL TIME = 2011 03 11 14 46 30
 NS,EW,UD
-28.730,186.690,114.397
2.130,169.488,49.607
26.179,152.037,-31.809
48.066,139.554,-89.608
50.818,131.133,-117.707
53.962,115.878,-120.127
81.975,100.772,-98.674
123.612,79.567,-59.196
163.197,46.088,-13.106
194.432,29.308,42.713
203.431,27.510,98.677
181.373,15.025,134.953
159.048,9.384,147.713
139.697,-4.593,124.897
114.952,-39.039,78.177
101.562,-51.057,44.923
80.265,-57.345,32.099
53.339,-74.198,36.338
38.559,-80.327,59.076
24.838,-82.896,87.408
17.065,-78.930,108.830
18.594,-56.850,116.810
24.781,-30.563,96.978
39.977,-13.829,44.799
60.235,2.396,-20.190
73.258,21.430,-79.258
82.773,36.084,-126.585
95.861,42.028,-159.677
107.543,46.375,-179.158
122.611,47.165,-182.201
141.390,41.956,-173.158
153.087,32.106,-153.495
165.939,17.889,-115.538
173.326,14.140,-57.320
176.927,-5.886,30.332
182.054,-16.084,124.651
175.279,-22.798,223.376
205.732,-86.797,311.284
224.904,-124.300,298.972
172.940,-132.204,205.370
155.059,-165.005,102.615
165.002,-200.100,5.830
145.654,-239.161,-70.223
118.432,-264.008,-123.098
86.775,-266.944,-152.655
63.289,-261.593,-168.574
42.759,-261.246,-179.461
20.910,-263.658,-177.251
1.074,-260.713,-163.557
-35.706,-265.989,-152.889
-73.983,-270.220,-138.981
-90.577,-255.280,-87.042
-99.021,-226.382,-7.541
-106.716,-195.840,77.785
-93.379,-164.191,174.767
-69.003,-144.291,247.678
-54.644,-123.436,273.916
-26.430,-78.829,262.679
-1.474,-52.898,209.466
-1.183,-45.897,137.488
-2.655,-37.591,68.188
-13.725,-53.084,-5.261
-29.090,-70.954,-74.964
-38.786,-76.068,-128.694
-48.619,-90.171,-165.575
-57.425,-112.418,-188.461
-74.907,-132.076,-201.851
-87.426,-133.409,-197.464
-95.232,-126.282,-169.456
-118.730,-133.575,-135.532
-139.550,-137.801,-104.192
-147.913,-129.220,-62.220
-159.072,-122.078,-2.584
-173.900,-118.571,75.302
-184.846,-107.897,156.910
-200.679,-93.148,185.488
-198.425,-75.873,139.897
-155.856,-36.519,75.970
-130.929,-1.871,26.270
-129.163,5.316,-1.634
-106.147,16.045,1.045
-85.946,32.674,7.734
-76.733,45.436,-4.315
-57.895,57.877,-20.585
-41.533,68.468,-29.998
-40.703,74.627,-39.560
-42.285,80.104,-41.847
-37.223,93.096,-28.916
-40.535,105.934,-12.823
-49.102,115.702,2.922
-51.336,129.599,18.443
-56.728,142.735,24.990
-62.700,151.372,14.057
-62.766,156.988,-11.078
-50.618,145.497,-28.729
-32.222,108.225,-29.946
-28.029,76.740,-24.334
-22.130,59.999,-23.273
-10.928,40.766,-31.236
4.470,16.627,-33.042
33.588,-21.973,-26.332
35.861,-46.596,-13.113
16.611,-53.497,15.731
2.146,-63.872,30.523
-23.421,-50.362,10.703
-32.544,-47.646,-25.238
-30.103,-57.328,-70.063
-39.479,-27.838,-99.355
-39.975,-3.746,-84.528
-45.707,7.750,-33.099
-54.250,39.394,29.752
-36.901,53.622,75.652
-7.628,53.246,91.564
5.919,66.304,72.027
13.751,70.805,29.064
28.755,75.125,-4.578
22.236,89.127,-27.209
7.114,98.133,-43.548
9.012,106.656,-46.733
-0.869,116.539,-41.848
-17.651,128.065,-27.434
-37.222,142.699,-16.499
-75.116,155.482,-24.987
-90.470,143.510,-43.105
-64.425,94.887,-65.745
-42.449,41.528,-88.862
-59.065,18.933,-103.779
-81.097,15.301,-97.596
-71.142,-4.195,-57.158
-60.432,-39.912,10.089
-50.829,-96.587,76.160
-29.460,-161.239,111.686
-18.082,-174.141,117.274
-7.586,-158.677,102.532
12.642,-171.463,73.002
40.345,-175.182,42.376
62.243,-146.818,3.180
62.011,-106.286,-49.671
55.837,-60.418,-100.473
60.633,-24.665,-134.995
75.209,4.297,-140.648
85.693,41.344,-123.185
83.133,74.803,-99.406
80.284,87.771,-72.158
81.647,83.155,-37.575
80.511,64.325,0.337
74.814,24.848,27.626
60.268,-10.948,39.446
43.717,-28.964,38.750
34.495,-45.924,27.990
33.307,-54.135,27.409
33.821,-54.458,40.511
28.108,-49.924,44.355
36.288,-26.952,38.287
51.561,0.590,21.226
47.080,19.102,-10.087
46.374,38.127,-36.823
53.185,46.154,-51.148
46.111,25.307,-63.045
36.940,-6.157,-73.153
40.765,-24.448,-64.371
41.913,-34.325,-34.384
31.701,-59.059,-5.962
35.143,-93.197,9.615
46.816,-113.936,9.675
52.053,-123.422,0.759
66.096,-123.039,2.680
83.034,-115.472,13.753
98.713,-99.527,23.841
117.795,-72.618,27.206
130.967,-45.504,21.202
141.853,-16.244,20.217
158.776,14.467,33.256
172.974,39.867,54.460
151.357,46.689,57.930
106.892,29.517,30.659
88.769,9.190,-6.027
70.921,-18.103,-43.375
44.563,-39.747,-68.647
34.692,-34.493,-67.629
27.098,-37.580,-44.116
32.124,-43.287,1.000
53.857,-22.060,56.226
75.547,0.114,88.893
92.514,10.641,75.450
105.918,28.365,40.217
117.886,46.806,12.574
118.288,50.966,-6.163
123.988,53.209,-3.211
143.326,45.976,16.977
140.903,8.125,15.896
115.077,-34.366,-11.943
86.535,-47.112,-35.884
60.846,-51.900,-30.157
34.076,-76.612,1.371
-3.579,-99.289,28.440
-30.764,-98.555,47.346
-41.153,-91.386,67.420
-62.349,-86.480,82.614
-90.423,-70.311,77.476
-111.720,-47.044,40.432
-118.676,-13.354,-10.929
-115.797,13.845,-66.139
-103.254,13.225,-112.225
-82.477,17.986,-123.291
-81.541,30.475,-99.730
-85.872,42.999,-52.910
-81.394,47.727,-12.393
-75.490,26.384,-2.979
-63.321,12.110,-5.452
-68.328,10.964,0.545
-82.054,7.452,15.359
-73.106,9.730,41.178
-50.415,14.154,70.180
-37.830,22.661,78.441
-33.355,39.141,61.005
-17.938,57.132,26.987
-1.829,72.316,-18.557
10.536,88.058,-64.222
24.645,100.639,-99.496
37.421,108.744,-121.063
46.986,117.708,-122.054
52.329,127.495,-95.494
56.120,137.348,-55.291
49.346,136.551,-28.165
40.409,123.934,-29.189
33.695,108.237,-50.859
12.147,95.115,-71.693
-15.147,87.936,-65.167
-35.491,82.094,-21.511
-59.952,72.368,31.381
-84.917,62.913,72.542
-92.703,59.877,81.995
-100.280,49.609,40.533
-110.405,45.258,-17.882
-118.613,59.948,-61.115
-141.397,65.427,-89.971
-158.531,71.191,-85.500
-161.083,84.793,-35.369
-173.134,92.258,26.175
-183.167,102.257,75.130
-155.274,103.489,107.059
-106.495,91.646,109.830
-77.644,88.227,94.521
-61.972,96.663,82.517
-46.398,103.819,67.582
-35.824,99.929,35.057
-22.375,89.838,-1.427
-6.073,72.308,-23.029
-7.285,51.101,-20.989
-27.020,39.144,2.528
-50.180,28.586,22.832
-64.141,17.842,31.160
-76.063,2.670,32.823
-96.691,-19.727,24.823
-112.951,-32.479,10.657
-123.728,-33.232,1.194
-132.496,-30.346,2.562
-127.150,-31.527,11.939
-103.118,-28.296,31.302
-79.784,-11.299,54.515
-65.862,4.866,64.050
-40.779,16.871,61.027
-6.517,31.130,51.655
18.936,41.009,31.565
40.159,45.181,-0.867
63.531,46.156,-39.649
85.572,44.023,-71.751
112.343,39.249,-86.253
139.653,26.994,-77.093
164.774,14.032,-48.456
196.617,1.642,-14.706
229.015,-6.503,13.453
273.390,-14.482,22.370
276.903,-39.317,5.677
172.562,-35.936,-26.076
80.692,-23.529,-50.493
84.671,-64.374,-43.097
71.879,-89.104,-6.209
-0.446,-82.678,37.659
-59.559,-98.181,70.768
-84.378,-109.739,91.418
-104.013,-113.642,100.473
-128.539,-131.738,86.460
-148.548,-152.831,52.616
-148.152,-159.993,25.219
-125.398,-162.547,24.702
-98.927,-182.450,39.955
-67.416,-196.798,51.595
-22.741,-184.425,54.193
17.910,-169.856,34.889
45.299,-159.525,7.056
73.058,-140.504,3.376
87.950,-117.532,13.045
65.032,-86.665,13.871
38.830,-51.498,-0.263
34.932,-31.691,-28.607
22.171,-17.725,-60.813
-3.852,-0.280,-83.988
-21.596,20.721,-90.337
-37.282,42.668,-86.937
-58.799,56.362,-81.097
-74.750,68.669,-71.186
-82.081,70.799,-62.328
-82.019,53.445,-62.217
-76.995,33.502,-66.171
-71.997,19.361,-59.223
-66.264,7.417,-33.798
-65.134,-6.664,4.029
-64.248,-14.965,46.538
-50.686,-22.952,82.372
-24.856,-47.958,92.722
5.536,-61.722,76.069
24.228,-50.173,45.777
28.061,-39.192,13.543
30.472,-28.302,-8.541
31.100,-16.910,-23.026
30.735,-8.219,-36.532
32.823,2.923,-47.463
33.470,9.867,-61.431
35.059,12.845,-79.863
38.965,15.106,-95.395
43.531,15.459,-101.248
50.923,13.699,-91.617
62.571,8.218,-67.396
78.763,-5.135,-33.727
93.491,-31.686,2.301
84.607,-52.347,38.781
50.675,-54.507,74.288
32.589,-66.320,103.471
31.563,-87.995,127.834
10.279,-100.329,140.277
-17.756,-112.393,140.443
-26.752,-115.054,130.924
-19.276,-95.085,100.402
-8.998,-66.995,53.989
-10.865,-41.043,2.390
-10.343,-16.978,-43.220
-0.187,5.345,-73.848
6.166,31.596,-85.341
8.440,60.709,-77.571
-1.212,76.494,-67.497
-10.563,86.497,-49.941
-12.007,100.425,-20.777
-31.481,104.473,-0.479
-50.207,106.551,18.044
-50.651,111.901,43.930
-56.662,108.575,68.991
-55.782,93.581,93.825
-26.744,68.530,120.648
-0.555,47.688,132.529
3.285,36.254,109.690
18.557,29.675,63.234
37.202,28.238,9.111
39.445,25.077,-36.471
53.090,20.930,-61.921
61.669,23.296,-78.886
59.974,42.013,-82.686
65.109,56.792,-69.973
57.505,51.998,-52.193
49.898,53.629,-25.664
49.415,54.056,7.179
42.735,48.125,36.114
37.468,43.245,59.600
34.948,34.364,71.201
25.766,25.249,58.051
13.023,14.990,27.688
9.081,12.283,6.913
4.133,7.169,6.374
-7.387,-3.652,17.594
-17.949,0.855,27.282
-28.082,11.142,20.938
-33.482,17.332,-0.584
-32.148,25.429,-23.491
-27.777,38.261,-40.532
-19.845,54.077,-44.163
-4.677,69.573,-38.679
10.255,78.611,-44.127
27.069,82.969,-57.307
51.163,95.437,-66.355
59.029,104.044,-72.805
60.031,105.863,-63.239
71.427,115.381,-13.604
74.001,124.272,64.357
62.437,132.904,139.239
46.334,135.402,190.770
36.589,117.157,166.181
15.956,88.297,58.643
-10.988,67.025,-54.604
-23.956,61.298,-133.923
-44.344,64.446,-170.222
-63.852,66.281,-152.150
-70.278,64.168,-83.971
-71.569,68.235,3.262
-63.685,72.371,74.116
-47.976,67.146,116.501
-49.621,60.131,117.147
-73.547,47.195,88.477
-86.712,35.354,64.285
-95.799,31.797,51.180
-107.886,33.542,43.878
-106.027,41.718,36.710
-93.990,46.336,15.124
-79.689,44.382,-27.035
-62.475,43.354,-74.639
-41.442,46.468,-114.038
-33.069,51.332,-142.107
-30.808,52.275,-151.838
-14.651,46.451,-139.223
-0.323,34.551,-111.838
6.221,19.518,-79.209
12.457,0.522,-45.659
19.402,-20.716,-9.511
27.015,-41.797,31.082
26.380,-69.205,73.267
23.299,-96.916,115.834
27.056,-117.843,156.478
21.996,-140.170,169.741
-2.571,-156.218,128.933
-29.277,-155.393,54.150
-45.278,-154.905,-21.351
-50.688,-161.815,-77.736
-35.913,-154.594,-93.797
-18.018,-136.559,-81.722
-13.383,-117.913,-63.682
7.150,-85.144,-32.008
41.168,-55.241,9.511
64.058,-40.325,48.555
87.129,-22.412,82.831
112.480,-5.571,100.244
122.878,3.226,81.454
121.771,-3.625,37.483
114.443,-20.795,0.270
84.339,-30.869,-22.269
51.543,-45.302,-22.269
38.299,-65.539,-5.389
16.198,-84.789,1.004
-6.428,-104.268,-0.342
-13.950,-120.656,0.436
-21.052,-139.029,2.004
-26.491,-162.068,-4.068
-28.867,-183.015,-25.810
-29.166,-195.066,-56.546
-28.324,-205.232,-83.397
-20.115,-212.463,-72.623
-12.077,-216.698,-21.284
-9.305,-223.147,28.342
8.457,-198.771,60.622
25.454,-151.405,59.186
32.353,-132.358,16.456
45.564,-126.788,-33.088
46.099,-106.314,-66.266
24.588,-85.021,-75.804
8.167,-74.158,-55.152
4.646,-72.462,-14.172
-1.685,-74.875,26.053
-14.135,-74.129,50.979
-27.829,-69.161,56.576
-40.750,-61.844,47.649
-52.145,-54.662,37.485
-58.655,-48.198,37.675
-63.364,-41.013,45.617
-74.303,-34.695,44.873
-77.529,-27.271,27.450
-68.913,-15.495,-1.152
-68.574,-2.136,-34.349
-73.993,12.407,-59.468
-75.551,31.039,-62.662
-74.238,51.900,-41.859
-69.690,74.955,-10.262
-59.436,103.564,17.684
-37.394,125.111,29.171
-9.880,129.643,14.447
18.032,134.472,-12.945
43.437,141.537,-39.960
56.805,140.434,-69.220
67.148,138.573,-97.808
76.157,140.014,-117.664
78.804,141.881,-123.934
81.813,135.964,-103.397
82.990,124.481,-43.561
79.129,103.184,23.680
73.181,72.684,68.566
66.746,61.975,94.729
44.289,45.617,89.178
10.005,13.636,62.832
-16.129,7.768,50.417
-46.076,5.681,50.291
-68.599,-10.898,48.025
-75.093,-23.559,39.262
-82.970,-30.467,29.999
-88.849,-27.564,33.280
-100.577,-18.266,43.534
-112.691,-10.450,46.056
-102.106,8.820,46.741
-83.609,39.318,42.940
-64.582,54.829,25.507
-28.834,61.750,10.234
6.307,76.555,1.729
26.432,84.100,-10.056
50.147,84.168,-20.003
74.539,87.373,-16.773
89.387,85.690,3.463
108.550,73.346,32.851
129.772,54.863,56.380
137.065,42.160,65.224
139.770,43.156,66.287
142.257,46.270,64.084
132.773,45.328,50.253
120.641,48.250,25.181
113.847,57.617,-3.925
102.843,67.061,-34.078
94.410,73.818,-53.358
94.016,87.234,-52.477
87.294,104.151,-43.146
80.541,118.333,-29.841
81.463,134.100,-0.939
80.249,153.838,40.672
67.919,175.755,74.436
42.388,180.402,83.492
23.694,170.101,62.183
1.521,161.525,14.860
-34.017,146.086,-36.645
-57.271,133.191,-68.145
-81.243,128.066,-79.204
-110.652,120.036,-83.114
-130.513,111.318,-88.116
-139.198,92.887,-96.902
-121.089,64.131,-104.277
-85.254,35.652,-101.251
-66.253,14.145,-85.360
-59.751,9.641,-53.105
-40.164,1.164,-11.171
-7.686,-24.854,24.987
30.938,-42.443,60.264
73.499,-57.963,94.784
111.908,-87.387,111.028
134.854,-106.577,104.502
148.344,-111.328,83.215
159.727,-118.396,57.724
143.939,-114.233,32.443
102.302,-101.095,3.998
68.783,-95.030,-29.088
44.516,-82.678,-70.620
12.867,-64.534,-117.328
-22.349,-47.024,-155.212
-47.051,-29.092,-171.708
-60.777,-16.120,-153.550
-69.770,0.474,-106.759
-81.953,16.160,-54.347
-85.449,23.518,-2.537
-61.697,32.003,44.950
-31.969,32.566,73.809
-5.772,24.105,83.589
25.695,23.464,88.277
49.795,27.363,88.314
66.795,22.852,79.616
89.467,17.248,69.859
114.264,13.711,60.291
133.369,0.009,46.934
150.526,-14.703,26.333
160.992,-19.767,-0.404
167.782,-20.078,-21.336
171.601,-20.755,-30.732
135.342,-14.710,-35.918
82.672,-1.025,-41.093
67.808,2.449,-39.889
50.684,4.049,-30.766
6.946,13.995,-16.915
-25.120,21.786,-0.431
-45.474,24.318,9.068
-69.123,25.966,0.787
-90.603,27.412,-25.239
-105.871,24.558,-55.325
-115.057,22.436,-71.000
-123.790,21.564,-56.313
-136.181,16.270,-14.881
-146.765,5.307,30.194
-142.726,-6.434,64.014
-129.914,-17.433,76.831
-123.455,-32.082,67.849
-120.273,-46.618,48.673
-120.880,-60.352,27.171
-123.151,-70.554,9.884
-123.921,-80.427,-0.663
-125.360,-92.902,-9.183
-127.399,-97.880,-23.594
-129.202,-93.476,-43.975
-127.030,-83.456,-62.129
-128.336,-78.188,-80.700
-127.054,-74.433,-95.827
-115.488,-66.207,-98.861
-108.003,-64.854,-95.318
-99.195,-64.704,-77.055
-83.943,-65.121,-45.363
-72.765,-73.995,-21.271
-60.654,-78.216,-0.077
-45.909,-80.238,20.177
-39.993,-89.891,31.664
-39.146,-93.031,46.741
-37.791,-91.697,68.255
-41.558,-94.122,82.534
-50.400,-93.745,81.321
-59.364,-91.782,74.288
-65.150,-88.509,71.739
-76.041,-92.062,66.399
-84.652,-96.899,65.936
-83.935,-91.178,72.257
-88.711,-94.672,63.772
-84.323,-103.997,37.887
-68.220,-107.464,1.679
-57.961,-112.210,-39.113
-47.418,-116.232,-73.413
-33.393,-119.182,-93.342
-16.798,-119.190,-97.052
4.278,-116.352,-89.445
31.427,-108.412,-78.956
59.832,-91.339,-66.525
89.296,-66.543,-45.755
108.651,-39.361,-27.559
94.058,-17.725,-24.293
68.647,2.679,-28.098
58.632,7.493,-28.814
52.858,-8.518,-10.217
42.536,-16.880,27.578
22.857,-24.399,60.530
2.971,-36.342,77.026
-6.148,-40.988,68.963
-8.812,-49.682,36.721
-3.355,-59.271,0.334
7.855,-66.915,-22.488
19.330,-75.320,-28.875
30.115,-81.003,-32.441
45.465,-84.332,-36.395
66.850,-80.649,-33.447
79.804,-80.496,-30.420
87.691,-84.638,-32.664
99.921,-81.170,-38.014
109.523,-70.220,-39.949
100.229,-54.257,-33.080
74.765,-43.235,-17.804
65.253,-35.346,4.064
62.402,-25.637,24.964
45.123,-16.456,38.161
28.739,-8.446,36.407
17.671,-0.755,18.589
9.421,11.513,-2.652
1.909,22.861,-13.197
-5.356,32.924,-1.632
-10.412,42.443,27.068
-20.972,44.082,52.721
-34.270,38.853,58.246
-42.495,30.364,44.169
-51.604,27.810,26.811
-68.648,29.082,10.775
-85.807,28.309,-4.604
-92.876,33.229,-14.596
-96.523,38.714,-24.621
-93.793,41.462,-39.171
-81.907,45.385,-57.242
-78.129,53.356,-69.489
-76.668,67.826,-57.226
-73.873,76.763,-25.261
-78.059,86.702,10.361
-74.491,101.818,40.876
-61.057,103.662,52.613
-43.386,104.011,45.145
-23.232,104.473,29.309
-8.042,97.112,10.725
2.477,96.720,-7.415
13.498,96.004,-22.157
33.177,90.034,-26.188
57.716,85.396,-13.865
80.645,76.716,6.950
103.869,66.727,22.450
125.753,61.598,28.236
147.840,61.695,31.905
166.184,66.654,39.848
172.492,66.688,45.657
171.769,59.964,44.526
170.195,58.827,37.191
162.798,58.103,23.632
151.179,57.745,13.121
137.479,60.556,6.961
123.647,60.851,-5.075
115.804,65.205,-23.797
105.577,66.864,-44.980
98.822,67.658,-53.388
90.966,75.018,-42.254
65.932,78.613,-29.928
49.546,81.689,-26.140
42.184,82.909,-30.126
29.643,82.085,-32.145
19.535,86.664,-20.998
4.329,93.189,-2.846
-7.398,103.537,18.434
-10.307,114.325,39.088
-13.486,120.851,48.335
-14.918,127.197,40.593
-14.861,133.420,13.880
-11.540,140.174,-27.591
-8.837,144.010,-71.935
-7.000,148.016,-100.571
-4.206,158.692,-99.456
-7.541,166.478,-75.817
-10.588,173.093,-41.856
-16.502,176.328,-9.145
-29.914,165.062,12.186
-42.273,149.207,27.052
-48.736,126.658,37.049
-31.794,95.441,43.032
-12.789,71.340,46.635
-16.378,57.442,41.590
-6.736,44.183,33.326
17.682,26.459,24.398
35.722,11.882,14.052
54.779,-3.694,7.980
71.105,-23.388,-2.350
75.529,-32.648,-23.814
75.738,-33.266,-52.946
67.802,-32.647,-87.487
44.254,-27.810,-116.647
24.092,-23.874,-123.988
7.176,-19.373,-107.825
-15.841,-6.003,-80.644
-34.422,6.907,-45.273
-47.568,17.940,-1.255
-61.936,27.298,40.849
-76.495,27.959,73.637
-87.121,29.442,94.563
-97.323,33.735,102.708
-109.831,31.057,95.186
-119.643,16.465,68.667
-116.379,-0.299,34.736
-104.419,-9.560,3.492
-96.678,-19.717,-22.234
-86.775,-25.333,-31.765
-74.830,-28.612,-27.242
-61.102,-43.223,-15.441
-38.562,-50.857,6.703
-21.868,-52.316,27.513
-15.489,-62.137,32.518
-6.145,-69.891,23.456
4.194,-78.170,10.368
8.545,-89.892,1.695
8.721,-101.888,4.014
13.207,-114.205,22.011
20.316,-125.931,47.055
26.064,-137.186,66.691
32.325,-145.364,67.351
33.915,-153.228,41.503
34.247,-158.613,3.418
29.673,-161.908,-33.106
12.168,-164.851,-61.118
-10.907,-160.285,-76.132
-33.026,-149.713,-77.973
-48.016,-139.306,-66.364
-62.030,-132.705,-46.940
-77.973,-122.077,-22.694
-89.083,-103.779,0.857
-99.414,-89.251,12.825
-101.613,-73.884,18.187
-95.388,-59.543,16.372
-87.822,-58.745,1.863
-72.079,-56.725,-11.333
-59.312,-51.571,-12.797
-53.118,-53.040,-2.158
-42.448,-53.263,17.660
-30.798,-57.105,38.211
-19.683,-67.598,48.375
-9.035,-76.934,45.177
4.820,-81.305,37.507
15.554,-83.636,27.998
19.721,-83.973,21.395
28.766,-77.445,25.917
37.727,-69.381,40.014
47.796,-58.111,54.494
56.434,-45.116,51.146
61.630,-27.896,31.124
69.953,-2.551,11.808
66.995,9.973,-7.781
58.522,14.061,-27.434
50.049,18.482,-35.923
30.068,13.670,-31.117
5.334,2.717,-24.378
-13.842,-12.849,-20.858
-25.830,-25.561,-17.639
-46.831,-36.781,-18.543
-69.265,-49.858,-17.767
-77.326,-58.194,-10.210
-85.349,-65.313,-5.422
-86.510,-66.016,-6.905
-78.118,-61.943,-13.417
-72.284,-59.062,-17.073
-63.332,-49.149,-7.289
-50.396,-36.253,5.434
-36.400,-26.370,8.952
-17.150,-14.822,10.516
3.151,-7.327,12.493
18.124,-8.168,12.791
34.711,-9.537,14.072
45.772,-17.316,5.716
47.129,-32.941,-12.708
54.061,-43.785,-21.066
53.845,-56.568,-19.337
49.575,-67.006,-10.183
52.116,-62.782,6.307
36.393,-56.440,14.168
23.611,-51.060,13.298
28.713,-47.013,11.952
27.908,-42.027,16.089
26.382,-38.718,20.155
22.670,-44.077,9.808
19.052,-40.579,-3.646
13.548,-36.133,-11.388
3.452,-34.510,-12.086
1.326,-25.777,-6.473
-2.684,-22.579,-2.196
-6.968,-17.965,5.958
-10.511,-12.420,10.906
-13.361,-9.689,2.302
-4.772,-2.214,-16.128
3.108,-0.897,-42.386
9.330,-7.225,-70.041
18.699,-9.373,-88.594
28.087,-2.213,-78.834
36.887,5.154,-39.991
42.173,4.890,0.088
50.494,4.672,26.843
59.004,4.798,34.716
62.226,-0.582,28.675
56.490,-8.773,24.946
34.487,-13.898,28.187
13.503,-12.993,40.872
2.157,-11.161,57.593
-10.944,-14.743,66.503
-20.035,-16.953,69.278
-26.760,-14.898,66.178
-39.396,-13.218,55.589
-48.945,-7.111,44.163
-56.448,0.207,30.482
-65.364,3.994,10.894
-68.963,11.161,-8.125
-72.101,20.138,-23.771
-80.461,28.815,-35.474
-86.861,43.248,-34.157
-89.762,60.832,-19.577
-94.068,79.147,-2.249
-77.670,89.957,15.255
-34.470,75.032,26.326
-4.134,53.723,24.022
9.433,49.888,14.085
29.693,44.794,0.375
53.596,35.725,-15.346
72.051,31.265,-30.135
91.815,15.354,-39.377
121.856,-4.121,-37.991
147.441,-2.932,-28.660
161.288,11.229,-15.912
172.821,27.382,0.548
177.066,46.098,19.734
171.338,62.335,34.973
159.203,76.098,38.862
143.446,89.214,30.334
129.138,102.060,17.660
116.084,114.706,7.786
103.265,121.826,0.145
93.487,128.349,-4.557
84.236,138.922,-8.238
68.808,146.300,-16.112
51.239,148.888,-27.416
37.527,148.818,-36.270
22.861,146.328,-40.174
3.686,140.331,-41.541
-13.052,134.905,-36.122
-27.928,129.785,-25.677
-49.861,117.955,-18.645
-66.078,110.687,-8.729
-77.482,106.389,1.991
-95.084,96.878,6.666
-104.504,93.881,9.419
-111.676,90.394,9.232
-118.641,87.107,10.474
-122.122,87.812,16.400
-129.290,84.657,22.634
-131.505,84.375,27.574
-133.911,76.737,22.355
-115.227,59.896,6.187
-69.432,48.291,-5.263
-50.439,44.789,-13.726
-49.017,48.123,-29.005
-24.293,49.479,-37.964
9.049,50.230,-33.763
30.678,49.327,-26.036
51.492,45.025,-16.324
78.179,45.923,-5.755
99.896,49.730,2.700
117.259,49.461,7.315
129.039,41.113,8.679
135.015,32.938,14.585
136.093,23.886,25.702
130.526,9.675,39.007
126.138,0.295,52.208
111.606,-8.370,52.735
83.521,-11.719,36.510
58.866,-7.786,13.780
40.122,-8.548,-8.880
26.255,-8.370,-28.077
16.930,-2.025,-38.804
11.778,10.989,-37.979
7.173,27.840,-27.252
2.278,42.978,-9.402
-1.246,55.650,11.171
-7.368,65.032,30.443
-14.708,72.326,48.117
-27.074,74.080,57.133
-42.956,67.434,48.338
-53.083,59.374,24.879
-64.227,52.890,-5.957
-79.515,44.784,-36.626
-91.483,36.768,-56.895
-100.850,29.952,-64.589
-109.964,21.862,-63.491
-115.661,12.538,-54.647
-118.225,2.666,-36.803
-122.218,-7.507,-13.438
-128.747,-22.891,5.117
-132.185,-43.438,16.395
-133.525,-63.140,20.316
-136.918,-84.420,18.188
-133.530,-103.379,18.821
-125.978,-119.295,17.502
-116.494,-136.435,5.246
-91.450,-141.268,-12.631
-62.686,-129.024,-28.146
-42.233,-111.737,-38.957
-16.707,-92.773,-44.410
13.266,-70.089,-41.473
39.077,-47.633,-30.045
59.245,-31.643,-11.908
75.707,-20.614,15.149
89.669,-12.177,47.446
92.995,-8.546,74.063
86.981,-10.316,90.317
79.324,-18.125,96.124
71.308,-27.918,91.795
62.421,-37.916,74.740
52.607,-48.404,48.298
46.809,-55.645,31.793
42.044,-64.362,36.654
37.294,-78.400,51.402
36.504,-90.598,53.155
34.975,-90.130,32.630
29.337,-87.270,0.060
22.861,-93.641,-26.946
19.360,-96.255,-34.218
12.683,-93.937,-27.120
7.936,-87.739,-15.376
9.261,-82.823,-11.379
6.952,-87.272,-26.685
10.377,-86.869,-47.996
16.925,-80.294,-62.802
13.734,-78.625,-72.496
12.989,-82.899,-74.983
18.685,-86.938,-62.598
21.445,-88.770,-32.930
21.995,-93.664,3.595
21.663,-100.772,32.607
17.913,-107.637,39.594
14.059,-114.647,24.218
16.916,-121.144,11.438
22.769,-125.075,19.609
28.567,-125.969,40.456
38.518,-121.048,57.792
49.676,-108.847,64.401
60.989,-100.420,55.848
69.118,-97.587,34.755
76.133,-86.647,19.607
79.920,-76.345,10.052
75.332,-76.340,-7.522
78.487,-71.173,-28.999
70.900,-59.350,-49.354
43.313,-47.288,-59.739
27.725,-38.988,-56.518
16.281,-35.131,-51.794
-2.281,-26.713,-50.864
-20.949,-18.417,-49.512
-35.661,-10.124,-34.646
-50.525,-0.261,-7.077
-73.013,4.722,15.164
-85.210,13.646,27.646
-89.992,23.047,26.564
-99.043,29.564,13.886
-101.901,39.346,4.960
-104.394,45.961,5.178
-107.717,51.943,10.445
-106.783,56.333,11.880
-100.527,56.897,5.002
-90.273,55.093,-10.130
-81.981,48.516,-35.281
-73.133,42.349,-66.364
-65.659,35.800,-95.275
-59.569,34.288,-113.070
-50.724,33.812,-112.741
-37.362,27.131,-94.062
-20.868,29.532,-62.607
-7.028,38.473,-23.660
6.070,45.434,14.614
16.462,50.534,42.959
26.798,56.621,61.809
37.382,62.800,66.930
41.073,62.230,53.205
47.550,61.164,30.061
53.763,57.150,3.683
50.875,52.143,-22.251
47.191,54.063,-39.220
47.272,50.168,-41.726
50.823,43.591,-23.479
56.456,41.924,9.948
62.577,36.590,38.193
68.546,33.751,50.734
76.051,35.676,49.118
84.562,35.317,40.965
89.580,37.118,35.011
93.194,40.818,34.546
97.730,45.609,37.119
98.378,52.405,34.172
91.717,58.238,24.252
80.599,67.430,16.657
