SITE CODE= 8A4óOíJí¨êVí¨                ,38.1033,142.8600, 24,9.0,40613.6154873, 24.87, 42.94
 LAT.=   38.5401
 LON.=  141.1272
 SAMPLING RATE= 100Hz 
 UNIT  = gal(cm/s/s) 
INITIAL TIME = 2011 03 11 14 46 30
 NS,EW,UD
-0.020,-0.013,-0.004
0.004,0.004,0.001
-0.022,-0.003,-0.007
-0.023,-0.006,-0.021
-0.005,-0.003,-0.024
0.004,-0.016,-0.017
0.013,0.004,-0.015
-0.005,0.000,-0.023
-0.002,-0.002,-0.016
0.006,0.002,0.003
0.007,-0.008,0.016
0.018,-0.002,0.016
0.012,0.000,0.007
0.011,-0.004,0.002
0.013,-0.001,0.002
0.004,0.021,0.010
-0.013,0.020,0.009
-0.026,0.014,0.002
-0.011,0.016,0.006
0.000,-0.001,0.013
-0.007,0.004,0.008
0.007,0.012,-0.002
0.007,-0.009,-0.001
-0.011,-0.027,0.008
0.000,-0.022,0.015
0.005,-0.018,0.015
-0.004,-0.013,0.011
-0.005,-0.004,0.000
0.008,-0.009,-0.003
0.015,0.000,-0.002
0.009,0.008,-0.010
0.007,0.005,-0.023
-0.002,-0.007,-0.025
0.004,-0.011,-0.019
-0.017,-0.005,-0.021
-0.037,-0.015,-0.017
-0.008,-0.008,-0.001
-0.011,-0.001,0.007
-0.014,0.001,0.008
0.009,0.020,-0.005
0.014,0.022,-0.017
0.017,0.009,-0.017
0.016,0.007,-0.022
0.009,0.018,-0.030
0.003,0.015,-0.026
0.002,0.011,-0.014
0.005,0.002,0.003
0.011,-0.013,0.015
0.013,0.001,0.013
0.002,-0.009,0.008
-0.004,-0.009,0.012
0.013,0.009,0.005
0.011,0.005,-0.007
-0.008,0.010,-0.008
-0.008,0.002,-0.007
-0.009,0.002,-0.005
-0.010,0.002,0.000
-0.012,-0.003,-0.004
-0.014,0.007,-0.014
0.006,-0.009,-0.019
0.021,-0.014,0.000
0.009,0.002,0.007
0.005,0.006,-0.003
0.000,-0.001,0.000
-0.014,0.003,-0.002
-0.005,0.000,-0.002
0.008,-0.002,0.002
-0.011,0.014,-0.009
-0.017,-0.002,-0.007
0.011,0.000,0.001
0.009,0.004,0.002
0.000,-0.012,0.013
0.005,0.001,0.012
0.005,0.001,0.008
0.005,-0.005,0.007
0.011,0.003,0.000
0.009,0.010,-0.004
-0.005,-0.008,-0.011
0.004,-0.010,-0.012
0.003,0.027,-0.018
-0.005,0.009,-0.033
0.016,-0.016,-0.027
0.004,0.004,-0.014
-0.007,-0.004,-0.005
0.009,-0.010,0.000
0.004,-0.011,0.010
-0.015,-0.007,0.020
-0.009,0.005,0.019
0.020,0.005,0.018
0.005,0.018,0.015
-0.005,0.011,0.010
0.000,0.000,0.004
-0.009,0.004,-0.003
0.002,-0.004,0.000
-0.001,-0.002,-0.003
-0.017,-0.008,-0.017
0.003,-0.016,-0.010
0.011,0.007,-0.005
-0.016,0.023,-0.021
0.002,-0.005,-0.026
0.022,-0.019,-0.015
0.007,-0.012,-0.002
0.009,-0.006,-0.013
0.000,0.001,-0.025
0.000,-0.009,-0.011
0.004,-0.006,0.003
0.003,0.014,0.005
0.008,0.022,0.002
-0.015,0.014,0.003
-0.013,0.002,0.002
0.001,-0.001,0.002
-0.010,0.006,0.005
-0.016,0.010,0.000
-0.020,-0.002,-0.005
0.007,0.004,0.003
0.016,0.014,0.006
-0.006,0.013,-0.004
-0.005,0.025,-0.010
0.007,0.018,-0.008
0.013,0.003,-0.002
-0.018,0.014,-0.007
-0.026,0.000,-0.013
0.001,-0.020,-0.005
-0.004,-0.008,-0.001
0.009,0.005,0.001
0.022,0.011,0.004
0.025,0.011,0.004
0.031,0.014,0.002
0.004,0.004,-0.004
-0.005,-0.008,-0.004
-0.018,0.001,-0.012
-0.041,-0.013,-0.017
-0.016,-0.025,-0.002
-0.006,-0.016,0.002
0.002,0.001,0.001
0.016,0.002,0.003
0.018,0.009,-0.001
0.031,0.023,0.005
0.016,0.008,0.007
-0.008,0.019,-0.008
