,time,f,f2
0,0.0,-0.01,-0.034648738255859124
1,0.01,-0.018000000000000002,0.06627882686309361
2,0.02,-0.02,0.15435839846995314
3,0.03,-0.015,0.21297906564114633
4,0.04,-0.011000000000000001,0.2312184369374141
5,0.05,-0.01,0.20584244818911934
6,0.06,-0.015,0.1418327953869658
7,0.07,-0.013000000000000001,0.05136969074343578
8,0.08,-0.006999999999999999,-0.04851267730646314
9,0.09,-0.001,-0.13913959251158337
10,0.1,0.003,-0.20367021311467104
11,0.11,0.001,-0.23019091803122663
12,0.12,0.001,-0.2138690327745732
13,0.13,0.001,-0.15779009571837332
14,0.14,-0.006,-0.07234601510225303
15,0.15,-0.011000000000000001,0.026697054893085825
16,0.16,-0.002,0.1210897314460343
17,0.17,-0.005,0.1934236151780784
18,0.18,-0.005,0.23029319035454232
19,0.19,0.0,0.22473413931023167
20,0.2,-0.008,0.17750713809532226
21,0.21,-0.002,0.09699923233586695
22,0.22,-0.002,-0.002244082249559076
23,0.23,-0.003,-0.10210424523683038
24,0.24,0.003,-0.18414392638907928
25,0.25,-0.005,-0.23295988654832764
26,0.26,-0.002,-0.23903843164892133
27,0.27,0.008,-0.2005940644636371
28,0.28,0.004,-0.1240402741431843
29,0.29,0.004,-0.02297558973921865
30,0.3,0.016,0.08416987422100493
31,0.31,0.03,0.17743655960190907
32,0.32,0.023,0.23901028968881907
33,0.33,0.002,0.25660483565099634
34,0.34,-0.002,0.22591551866515613
35,0.35000000000000003,-0.006999999999999999,0.15165369037343288
36,0.36,-0.009000000000000001,0.046916370209323384
37,0.37,-0.004,-0.06905230920460143
38,0.38,-0.013000000000000001,-0.17434443968876912
39,0.39,-0.025,-0.24849994893028973
40,0.4,-0.028999999999999998,-0.2764822151447752
41,0.41000000000000003,-0.017,-0.2517457136102589
42,0.42,-0.016,-0.17776568069662213
43,0.43,-0.022000000000000002,-0.0676720632659934
44,0.44,-0.013999999999999999,0.058013872843707515
45,0.45,0.003,0.17516817123197664
46,0.46,0.024,0.2606883716111011
47,0.47000000000000003,0.016,0.29706892309768596
48,0.48,0.01,0.2760173308757424
49,0.49,0.015,0.2003565231576905
50,0.5,0.004,0.08377404992853134
51,0.51,0.006,-0.051603959402295674
52,0.52,0.006999999999999999,-0.17939753046754728
53,0.53,-0.002,-0.27412894351466527
54,0.54,-0.006999999999999999,-0.31633907272513206
55,0.55,-0.015,-0.29662803480040645
56,0.56,-0.016,-0.2177711058684442
57,0.5700000000000001,-0.013999999999999999,-0.09442844713257127
58,0.58,-0.018000000000000002,0.04955452274852435
59,0.59,-0.013999999999999999,0.1857659516161071
60,0.6,-0.006999999999999999,0.2868692058151463
61,0.61,-0.016,0.33213904240459174
62,0.62,-0.019,0.3117595542225259
63,0.63,-0.019,0.22898113853788907
64,0.64,-0.021,0.09965598215626492
65,0.65,-0.017,-0.05079768778874405
66,0.66,-0.022000000000000002,-0.19242163041792307
67,0.67,-0.013000000000000001,-0.29673321723558715
68,0.68,-0.003,-0.3425110498714706
69,0.6900000000000001,-0.009000000000000001,-0.32016198482089675
70,0.7000000000000001,-0.002,-0.2337592767153437
71,0.71,0.001,-0.10031228789020198
72,0.72,0.003,0.05360474489028921
73,0.73,0.009000000000000001,0.19719162431139414
74,0.74,0.002,0.30164534137855825
75,0.75,0.002,0.34599617818087347
76,0.76,0.005,0.3213605606430298
77,0.77,-0.002,0.2327379031143495
78,0.78,-0.006,0.0979836524741392
79,0.79,-0.008,-0.055827940190281033
80,0.8,-0.008,-0.19790139433761456
81,0.81,0.006999999999999999,-0.2999482408442804
82,0.8200000000000001,0.016,-0.3418716893431858
83,0.8300000000000001,0.012,-0.31575300857444194
84,0.84,0.008,-0.22734189831204524
85,0.85,0.01,-0.09477145506285933
86,0.86,0.019,0.05521118253615088
87,0.87,0.008,0.19270364739308143
88,0.88,-0.003,0.2906681178658683
89,0.89,-0.001,0.3302865097669394
90,0.9,0.001,0.3045812012823814
91,0.91,0.006999999999999999,0.21960302268922238
92,0.92,0.009000000000000001,0.09299495970201799
93,0.93,0.013000000000000001,-0.04972528001071209
94,0.9400000000000001,-0.001,-0.18036837716372556
95,0.9500000000000001,-0.013000000000000001,-0.2736873248377897
96,0.96,-0.005,-0.3122731514769098
97,0.97,-0.01,-0.2897789395567018
98,0.98,-0.022000000000000002,-0.2118808905666374
99,0.99,-0.02,-0.09485443273927063
100,1.0,-0.013999999999999999,0.037879148375086436
101,1.01,-0.01,0.16049099917568665
102,1.02,-0.004,0.2497974039360662
103,1.03,0.003,0.2896320070653033
104,1.04,0.008,0.27371572693060786
105,1.05,0.003,0.20652943310449456
106,1.06,-0.004,0.1021028901429144
107,1.07,-0.006999999999999999,-0.018961250473471303
108,1.08,-0.012,-0.1335867624134457
109,1.09,-0.013999999999999999,-0.22062258245780877
110,1.1,-0.02,-0.2647024014012783
111,1.11,-0.022000000000000002,-0.2588717475164968
112,1.12,-0.017,-0.20555618554648403
113,1.1300000000000001,-0.023,-0.11577420835673569
114,1.1400000000000001,-0.027000000000000003,-0.006825020208178324
115,1.1500000000000001,-0.03,0.10105562164232695
116,1.16,-0.023,0.1884223385695507
117,1.17,-0.005,0.2400513496940887
118,1.18,0.009000000000000001,0.24748969071266191
119,1.19,0.012,0.2103234371273024
120,1.2,0.01,0.13600787105513557
121,1.21,0.01,0.0383535118770848
122,1.22,0.006999999999999999,-0.06502020890336735
123,1.23,0.008,-0.15579920164576966
124,1.24,0.005,-0.21812326214324718
125,1.25,-0.002,-0.24125304274652562
126,1.26,-0.001,-0.22133494647658392
127,1.27,0.0,-0.16199728746677902
128,1.28,0.003,-0.07369850142866397
129,1.29,0.0,0.028057820787942393
130,1.3,0.0,0.12535193393549315
131,1.31,0.002,0.2009000490820703
132,1.32,0.003,0.24103735831383677
133,1.33,0.002,0.23814025581918677
134,1.34,-0.005,0.1920712673786098
135,1.35,-0.005,0.11037361760120935
136,1.36,0.002,0.007137181863500874
137,1.37,0.005,-0.0993226204794
138,1.3800000000000001,0.003,-0.18962027331507517
139,1.3900000000000001,0.004,-0.24677121840442287
140,1.4000000000000001,0.008,-0.25937224908570133
141,1.41,0.008,-0.22389932247155533
142,1.42,-0.003,-0.14565446482369837
143,1.43,-0.009000000000000001,-0.03811372375942179
144,1.44,-0.005,0.07928772300044606
145,1.45,0.001,0.18459822121043248
146,1.46,0.002,0.2574284157500162
147,1.47,-0.003,0.28291479356458554
148,1.48,0.002,0.2547936735462113
149,1.49,0.0,0.17694054844342588
150,1.5,-0.01,0.06299641069087136
151,1.51,-0.011000000000000001,-0.06593755118001043
152,1.52,-0.008,-0.185170069226567
153,1.53,-0.002,-0.271154504784924
154,1.54,0.004,-0.3061787451928766
155,1.55,-0.002,-0.2820667279072418
156,1.56,-0.015,-0.20210593505814248
157,1.57,-0.012,-0.0807425875314859
158,1.58,-0.006999999999999999,0.05897660662023929
159,1.59,-0.013999999999999999,0.18977660804156415
160,1.6,-0.016,0.2855118037741988
161,1.61,-0.018000000000000002,0.32644893189292823
162,1.62,-0.011000000000000001,0.30339439524206596
163,1.6300000000000001,0.002,0.21978904564381188
164,1.6400000000000001,0.006,0.0912867731460889
165,1.6500000000000001,0.006,-0.057160512788546614
166,1.6600000000000001,0.002,-0.19617273908091318
167,1.67,0.006999999999999999,-0.2978099491389117
168,1.68,0.006999999999999999,-0.3412542130635434
169,1.69,-0.017,-0.31713417929235216
170,1.7,-0.025,-0.22958000004978407
171,1.71,-0.023,-0.09555068508430688
172,1.72,-0.021,0.05846609755857002
173,1.73,-0.011000000000000001,0.20173590135100009
174,1.74,-0.013000000000000001,0.3054766091778045
175,1.75,-0.006999999999999999,0.3487088863946972
176,1.76,0.003,0.3225527808824849
177,1.77,0.001,0.23207793134631152
178,1.78,-0.002,0.09531581164416127
179,1.79,-0.001,-0.06037234196250952
180,1.8,0.0,-0.20383129446313952
181,1.81,0.006999999999999999,-0.30641677893722286
182,1.82,0.015,-0.3477771766753458
183,1.83,0.009000000000000001,-0.3199302149582029
184,1.84,0.009000000000000001,-0.22880873247896916
185,1.85,0.017,-0.092974848554364
186,1.86,0.013999999999999999,0.06021402603328063
187,1.87,-0.005,0.20018329550881955
188,1.8800000000000001,-0.013000000000000001,0.29931013065158973
189,1.8900000000000001,-0.005,0.3384228661375852
190,1.9000000000000001,-0.009000000000000001,0.31052449630423906
191,1.9100000000000001,-0.013999999999999999,0.22201326283833422
192,1.92,-0.006999999999999999,0.09119555432995896
193,1.93,0.005,-0.05555926504016696
194,1.94,0.009000000000000001,-0.18920107116254206
195,1.95,0.006999999999999999,-0.2838040962596653
196,1.96,0.002,-0.32162190727590745
