単語,意味,発音記号,発音,品詞1,品詞2,補足,例文,英検,カテゴリ
be free of A ,当然義務的に負うべきもの・不快なもの）がない,-,-,熟語,-,-,-,準2級,of（除去・奪取）
remove A from B,A（物・汚れ・疑い・恐れなど）を B（物・場所）から取り除く,-,-,熟語,-,-,-,準2級,of（除去・奪取）
be sure of A,Aを確信している,-,-,熟語,-,-,-,準2級,of（知覚の対象）
be certain of A,Aを確信している：sure より客観的で、確かな理由があることを含意,-,-,熟語,-,-,-,準2級,of（知覚の対象）
be confident of,Aを確信している：強意的,-,-,熟語,-,-,-,準2級,of（知覚の対象）
be persuaded of,Aを確信している：堅い語,-,-,熟語,-,-,-,準2級,of（知覚の対象）
be convinced of,Aを確信している：強意的,-,-,熟語,-,-,-,準2級,of（知覚の対象）
be assured of A,Aを確信している：堅い語,-,-,熟語,-,-,-,準2級,of（知覚の対象）
be satisfied of,Aを確認している：文語,-,-,熟語,-,-,-,準2級,of（知覚の対象）
be positive of A,Aに自信がある,-,-,熟語,-,-,-,準2級,of（知覚の対象）
know of,～のことを知っている,-,-,熟語,-,-,-,準2級,of（知覚の対象）
be aware of A,Aに感覚的に気づいている：内面的ではなく外面の観察・情報から,-,-,熟語,-,-,-,準2級,of（知覚の対象）
be conscious of A,Aを意識している：内面的,-,-,熟語,-,-,-,準2級,of（知覚の対象）
be sensible of A,Aを認識している：堅い語,-,-,熟語,-,-,-,準2級,of（知覚の対象）
be informed of A,Aを知っている：堅い語,-,-,熟語,-,-,-,準2級,of（知覚の対象）
be reminded of A,Aを思い出す,-,-,熟語,-,-,-,準2級,of（知覚の対象）
look for A,Aを捜す,-,-,熟語,-,-,-,準2級,for（追求・願望）
search for A,Aを捜す,-,-,熟語,-,-,-,準2級,for（追求・願望）
seek for A,Aを捜す（堅い語）,-,-,熟語,-,-,-,準2級,for（追求・願望）
feel for A,Aを手探りで捜す,-,-,熟語,-,-,-,準2級,for（追求・願望）
fumble for A,Aを手探りで捜す,-,-,熟語,-,-,-,準2級,for（追求・願望）
hunt for A,Aを捜し求める（くだけた語）,-,-,熟語,-,-,-,準2級,for（追求・願望）
ask for A,Aを求める,-,-,熟語,-,-,-,準2級,for（追求・願望）
hope for A,Aを望む,-,-,熟語,-,-,-,準2級,for（追求・願望）
wish for A,Aを望む（容易に得られないもの）,-,-,熟語,-,-,-,準2級,for（追求・願望）
long for A,Aを切望する（思いこがれる）,-,-,熟語,-,-,-,準2級,for（追求・願望）
pine for A,Aを切望する（思いこがれる）,-,-,熟語,-,-,-,準2級,for（追求・願望）
be zealous for A,Aを熱望している（堅い語）,-,-,熟語,-,-,-,準2級,for（追求・願望）
take A for B,AをBだと思う,-,-,熟語,-,-,-,準2級,for（交換・代償・代用）
mistook A for B,AをBだと誤って思う,-,-,熟語,-,-,-,準2級,for（交換・代償・代用）
give A up for B,AをBだとあきらめる,-,-,熟語,-,-,-,準2級,for（交換・代償・代用）
make up for A,Aの埋め合わせをする、補う,-,-,熟語,-,-,-,準2級,for（交換・代償・代用）
known for A,Aとして知られている,-,-,熟語,-,-,-,準2級,for（原因・理由）
famous for A,Aとして有名な,-,-,熟語,-,-,-,準2級,for（原因・理由）
celebrated for A,Aとして名高い：famous より堅い語,-,-,熟語,-,-,-,準2級,for（原因・理由）
blame A for B,A を B のことで非難する,-,-,熟語,-,-,-,準2級,for（原因・理由）
thank A for B,A に B のことで感謝する,-,-,熟語,-,-,-,準2級,for（原因・理由）
praise A for B,A を B のことでほめる,-,-,熟語,-,-,-,準2級,for（原因・理由）
punish A for B,A を B のことで罰する,-,-,熟語,-,-,-,準2級,for（原因・理由）
forgive A for B,A の B(罪)を許す,-,-,熟語,-,-,-,準2級,for（原因・理由）
for A reason,Aの理由で,-,-,熟語,-,-,-,準2級,for（原因・理由）
in case of A,Aの場合,-,-,熟語,-,-,-,準2級,-
in need of A,Aを必要として,-,-,熟語,-,-,-,準2級,-
