sample.csv,,,,,,,
ÉgÉäÉKéûçè '''18-09-24 09:55:00s,,,,,,,
,,,,,,,
Ch,Mode,Range,Scaling,Ratio,Offset,,
CH1-1-1,îMìdëŒ,500 Åé f.s.,OFF,-,-,,CH1-1-1[Åé]
CH1-1-2,îMìdëŒ,100 Åé f.s.,OFF,-,-,,CH1-1-2[Åé]
CH1-1-3,îMìdëŒ,100 Åé f.s.,OFF,-,-,,CH1-1-3[Åé]
CH1-1-4,ìdà≥,100 V f.s.,OFF,-,-,,CH1-1-4[V]
CH1-1-5,ìdà≥,100 V f.s.,OFF,-,-,,CH1-1-5[V]
CH1-1-6,ìdà≥,100 V f.s.,OFF,-,-,,CH1-1-6[V]
CH1-1-7,ìdà≥,100 V f.s.,OFF,-,-,,CH1-1-7[V]
,,,,,,,
Time,CH1-1-1[Åé],CH1-1-2[Åé],CH1-1-3[Åé],CH1-1-4[V],CH1-1-5[V],CH1-1-6[V],CH1-1-7[V]
'18-09-24 09:55:43s,2.62E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
'18-09-24 09:55:44s,2.62E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
'18-09-24 09:55:45s,2.62E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
'18-09-24 09:55:46s,2.62E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
'18-09-24 09:55:47s,2.62E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
'18-09-24 09:55:48s,2.62E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
'18-09-24 09:55:49s,2.62E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
'18-09-24 09:55:50s,2.62E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
'18-09-24 09:55:51s,2.62E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
'18-09-24 09:55:52s,2.62E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
'18-09-24 09:55:53s,2.62E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
'18-09-24 09:55:54s,2.62E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
'18-09-24 09:55:55s,2.62E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
'18-09-24 09:55:56s,2.62E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
'18-09-24 09:55:57s,2.62E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
'18-09-24 09:55:58s,2.62E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
'18-09-24 09:55:59s,2.62E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
'18-09-24 09:56:00s,2.62E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
