sample.csv,,,,,,,
ÉgÉäÉKéûçè '''18-09-24 09:55:00s,,,,,,,
,,,,,,,
Ch,Mode,Range,Scaling,Ratio,Offset,,
CH1-1-1,îMìdëŒ,500 Åé f.s.,OFF,-,-,,CH1-1-1[Åé]
CH1-1-2,îMìdëŒ,100 Åé f.s.,OFF,-,-,,CH1-1-2[Åé]
CH1-1-3,îMìdëŒ,100 Åé f.s.,OFF,-,-,,CH1-1-3[Åé]
CH1-1-4,ìdà≥,100 V f.s.,OFF,-,-,,CH1-1-4[V]
CH1-1-5,ìdà≥,100 V f.s.,OFF,-,-,,CH1-1-5[V]
CH1-1-6,ìdà≥,100 V f.s.,OFF,-,-,,CH1-1-6[V]
CH1-1-7,ìdà≥,100 V f.s.,OFF,-,-,,CH1-1-7[V]
,,,,,,,
Time,CH1-1-1[Åé],CH1-1-2[Åé],CH1-1-3[Åé],CH1-1-4[V],CH1-1-5[V],CH1-1-6[V],CH1-1-7[V]
'18-09-24 10:15:10s,2.69E+01,2.41E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:15:11s,2.69E+01,2.30E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:15:12s,2.69E+01,2.41E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:15:13s,2.69E+01,2.30E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:15:14s,2.69E+01,2.41E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:15:15s,2.69E+01,2.41E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:15:16s,2.69E+01,2.41E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:15:17s,2.69E+01,2.41E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:15:18s,2.69E+01,2.41E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:15:19s,2.69E+01,2.41E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:15:20s,2.69E+01,2.41E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:15:21s,2.69E+01,2.41E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:15:22s,2.69E+01,2.30E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:15:23s,2.69E+01,2.30E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:15:24s,2.68E+01,2.30E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:15:25s,2.69E+01,2.30E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:15:26s,2.69E+01,2.30E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:15:27s,2.69E+01,2.41E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:15:28s,2.69E+01,2.41E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:15:29s,2.69E+01,2.30E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:15:30s,2.69E+01,2.41E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:15:31s,2.69E+01,2.30E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:15:32s,2.69E+01,2.41E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:15:33s,2.69E+01,2.41E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:15:34s,2.69E+01,2.30E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:15:35s,2.69E+01,2.30E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:15:36s,2.69E+01,2.42E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:15:37s,2.69E+01,2.30E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:15:38s,2.69E+01,2.41E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:15:39s,2.69E+01,2.41E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:15:40s,2.69E+01,2.42E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:15:41s,2.69E+01,2.42E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:15:42s,2.69E+01,2.41E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:15:43s,2.69E+01,2.41E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:15:44s,2.69E+01,2.43E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:15:45s,2.69E+01,2.30E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:15:46s,2.69E+01,2.41E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:15:47s,2.69E+01,2.41E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:15:48s,2.69E+01,2.30E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:15:49s,2.69E+01,2.30E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:15:50s,2.69E+01,2.41E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:15:51s,2.69E+01,2.30E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:15:52s,2.69E+01,2.41E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:15:53s,2.69E+01,2.41E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:15:54s,2.69E+01,2.30E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:15:55s,2.69E+01,2.42E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:15:56s,2.69E+01,2.41E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:15:57s,2.69E+01,2.41E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:15:58s,2.69E+01,2.41E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:15:59s,2.69E+01,2.41E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:16:00s,2.69E+01,2.41E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:16:01s,2.69E+01,2.30E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:16:02s,2.69E+01,2.41E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:16:03s,2.69E+01,2.30E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:16:04s,2.68E+01,2.30E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:16:05s,2.68E+01,2.41E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:16:06s,2.68E+01,2.41E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:16:07s,2.69E+01,2.41E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:16:08s,2.69E+01,2.41E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:16:09s,2.69E+01,2.41E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:16:10s,2.69E+01,2.42E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:16:11s,2.69E+01,2.30E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:16:12s,2.69E+01,2.42E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:16:13s,2.69E+01,2.41E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:16:14s,2.69E+01,2.30E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:16:15s,2.69E+01,2.41E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:16:16s,2.69E+01,2.42E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:16:17s,2.69E+01,2.41E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:16:18s,2.69E+01,2.41E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:16:19s,2.69E+01,2.42E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:16:20s,2.69E+01,2.42E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:16:21s,2.69E+01,2.41E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:16:22s,2.50E+01,2.43E+01,2.48E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:16:23s,2.69E+01,2.41E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:16:24s,2.69E+01,2.41E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:16:25s,2.69E+01,2.41E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:16:26s,2.50E+01,2.42E+01,2.48E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:16:27s,2.68E+01,2.30E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:16:28s,2.69E+01,2.41E+01,2.48E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:16:29s,2.69E+01,2.41E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:16:30s,2.69E+01,2.30E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:16:31s,2.69E+01,2.30E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:16:32s,2.50E+01,2.42E+01,2.48E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:16:33s,2.69E+01,2.30E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:16:34s,2.69E+01,2.41E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:16:35s,2.69E+01,2.42E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:16:36s,2.50E+01,2.42E+01,2.48E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:16:37s,2.69E+01,2.42E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:16:38s,2.50E+01,2.42E+01,2.48E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:16:39s,2.50E+01,2.42E+01,2.48E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:16:40s,2.69E+01,2.43E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:16:41s,2.69E+01,2.41E+01,2.47E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:16:42s,2.50E+01,2.42E+01,2.48E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:16:43s,2.50E+01,2.42E+01,2.48E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:16:44s,2.50E+01,2.42E+01,2.48E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:16:45s,2.50E+01,2.42E+01,2.48E+01,2.08E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:16:46s,2.50E+01,2.41E+01,2.48E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:16:47s,2.50E+01,2.42E+01,2.48E+01,2.08E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:16:48s,2.50E+01,2.41E+01,2.48E+01,2.08E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:16:49s,2.50E+01,2.43E+01,2.48E+01,2.08E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:16:50s,2.50E+01,2.42E+01,2.48E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:16:51s,2.50E+01,2.42E+01,2.48E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:16:52s,2.69E+01,2.41E+01,2.48E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:16:53s,2.69E+01,2.42E+01,2.48E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:16:54s,2.69E+01,2.42E+01,2.48E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:16:55s,2.69E+01,2.42E+01,2.48E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:16:56s,2.50E+01,2.42E+01,2.48E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:16:57s,2.50E+01,2.42E+01,2.48E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:16:58s,2.50E+01,2.42E+01,2.48E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:16:59s,2.50E+01,2.42E+01,2.48E+01,2.08E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:17:00s,2.50E+01,2.42E+01,2.48E+01,2.08E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:17:01s,2.50E+01,2.42E+01,2.48E+01,2.08E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:17:02s,2.50E+01,2.42E+01,2.48E+01,2.08E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:17:03s,2.50E+01,2.42E+01,2.48E+01,2.08E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:17:04s,2.50E+01,2.42E+01,2.48E+01,2.08E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:17:05s,2.50E+01,2.42E+01,2.48E+01,2.08E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:17:06s,2.50E+01,2.42E+01,2.48E+01,2.08E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:17:07s,2.50E+01,2.43E+01,2.48E+01,2.08E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:17:08s,2.50E+01,2.42E+01,2.48E+01,2.08E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:17:09s,2.50E+01,2.42E+01,2.48E+01,2.08E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:17:10s,2.50E+01,2.42E+01,2.48E+01,2.08E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:17:11s,2.69E+01,2.43E+01,2.48E+01,2.08E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:17:12s,2.69E+01,2.42E+01,2.48E+01,2.08E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:17:13s,2.69E+01,2.42E+01,2.48E+01,2.08E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:17:14s,2.69E+01,2.41E+01,2.48E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:17:15s,2.69E+01,2.42E+01,2.48E+01,2.08E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:17:16s,2.50E+01,2.42E+01,2.48E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:17:17s,2.69E+01,2.42E+01,2.48E+01,2.08E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:17:18s,2.50E+01,2.42E+01,2.48E+01,2.08E+01,2.08E+01,2.01E+01,1.30E+01
'18-09-24 10:17:19s,2.50E+01,2.42E+01,2.48E+01,2.08E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:17:20s,2.50E+01,2.42E+01,2.48E+01,2.08E+01,2.08E+01,2.01E+01,1.30E+01
'18-09-24 10:17:21s,2.50E+01,2.42E+01,2.48E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:17:22s,2.50E+01,2.42E+01,2.48E+01,2.08E+01,2.08E+01,2.01E+01,1.30E+01
'18-09-24 10:17:23s,2.50E+01,2.43E+01,2.48E+01,2.08E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:17:24s,2.50E+01,2.42E+01,2.48E+01,2.08E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:17:25s,2.50E+01,2.41E+01,2.48E+01,2.08E+01,2.08E+01,2.01E+01,1.30E+01
'18-09-24 10:17:26s,2.50E+01,2.43E+01,2.48E+01,2.08E+01,2.08E+01,2.01E+01,1.30E+01
'18-09-24 10:17:27s,2.50E+01,2.41E+01,2.48E+01,2.08E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:17:28s,2.50E+01,2.41E+01,2.48E+01,2.08E+01,2.08E+01,2.01E+01,1.30E+01
'18-09-24 10:17:29s,2.50E+01,2.43E+01,2.48E+01,2.08E+01,2.08E+01,2.01E+01,1.30E+01
'18-09-24 10:17:30s,2.50E+01,2.42E+01,2.48E+01,2.08E+01,2.08E+01,2.01E+01,1.30E+01
'18-09-24 10:17:31s,2.50E+01,2.42E+01,2.48E+01,2.08E+01,2.08E+01,2.01E+01,1.30E+01
'18-09-24 10:17:32s,2.69E+01,2.43E+01,2.48E+01,2.08E+01,2.08E+01,2.01E+01,1.30E+01
'18-09-24 10:17:33s,2.69E+01,2.42E+01,2.48E+01,2.08E+01,2.08E+01,2.01E+01,1.30E+01
'18-09-24 10:17:34s,2.69E+01,2.42E+01,2.48E+01,2.08E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:17:35s,2.69E+01,2.43E+01,2.48E+01,2.08E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:17:36s,2.69E+01,2.41E+01,2.48E+01,2.08E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:17:37s,2.69E+01,2.42E+01,2.48E+01,2.08E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:17:38s,2.50E+01,2.42E+01,2.48E+01,2.08E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:17:39s,2.50E+01,2.43E+01,2.48E+01,2.08E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:17:40s,2.50E+01,2.41E+01,2.48E+01,2.08E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:17:41s,2.50E+01,2.42E+01,2.48E+01,2.08E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:17:42s,2.50E+01,2.41E+01,2.48E+01,2.08E+01,2.08E+01,2.01E+01,1.30E+01
'18-09-24 10:17:43s,2.50E+01,2.42E+01,2.48E+01,2.08E+01,2.08E+01,2.01E+01,1.30E+01
'18-09-24 10:17:44s,2.50E+01,2.41E+01,2.48E+01,2.08E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:17:45s,2.50E+01,2.42E+01,2.48E+01,2.08E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:17:46s,2.50E+01,2.42E+01,2.48E+01,2.08E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:17:47s,2.50E+01,2.41E+01,2.48E+01,2.08E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:17:48s,2.69E+01,2.42E+01,2.48E+01,2.08E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:17:49s,2.69E+01,2.42E+01,2.48E+01,2.08E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:17:50s,2.69E+01,2.41E+01,2.48E+01,2.08E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:17:51s,2.69E+01,2.42E+01,2.48E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:17:52s,2.69E+01,2.42E+01,2.48E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:17:53s,2.50E+01,2.42E+01,2.48E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:17:54s,2.50E+01,2.43E+01,2.48E+01,2.05E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:17:55s,2.50E+01,2.42E+01,2.48E+01,2.08E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:17:56s,2.50E+01,2.42E+01,2.48E+01,2.08E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:17:57s,2.50E+01,2.43E+01,2.48E+01,2.08E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:17:58s,2.50E+01,2.42E+01,2.48E+01,2.08E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:17:59s,2.50E+01,2.42E+01,2.48E+01,2.08E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:18:00s,2.50E+01,2.43E+01,2.48E+01,2.08E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:18:01s,2.50E+01,2.43E+01,2.48E+01,2.08E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:18:02s,2.50E+01,2.42E+01,2.48E+01,2.08E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:18:03s,2.50E+01,2.42E+01,2.48E+01,2.08E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:18:04s,2.69E+01,2.42E+01,2.48E+01,2.08E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:18:05s,2.69E+01,2.42E+01,2.48E+01,2.08E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:18:06s,2.69E+01,2.42E+01,2.48E+01,2.08E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:18:07s,2.69E+01,2.43E+01,2.48E+01,2.08E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:18:08s,2.69E+01,2.42E+01,2.48E+01,2.08E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:18:09s,2.50E+01,2.42E+01,2.48E+01,2.08E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:18:10s,2.50E+01,2.42E+01,2.48E+01,2.08E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:18:11s,2.50E+01,2.42E+01,2.48E+01,2.08E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:18:12s,2.50E+01,2.41E+01,2.48E+01,2.08E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:18:13s,2.50E+01,2.43E+01,2.48E+01,2.08E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:18:14s,2.50E+01,2.42E+01,2.48E+01,2.08E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:18:15s,2.50E+01,2.43E+01,2.48E+01,2.08E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:18:16s,2.50E+01,2.42E+01,2.48E+01,2.08E+01,2.08E+01,2.01E+01,1.30E+01
'18-09-24 10:18:17s,2.50E+01,2.42E+01,2.48E+01,2.08E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:18:18s,2.50E+01,2.43E+01,2.48E+01,2.08E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:18:19s,2.69E+01,2.43E+01,2.48E+01,2.08E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:18:20s,2.69E+01,2.41E+01,2.48E+01,2.08E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:18:21s,2.69E+01,2.43E+01,2.48E+01,2.08E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:18:22s,2.69E+01,2.41E+01,2.48E+01,2.08E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:18:23s,2.69E+01,2.43E+01,2.48E+01,2.08E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:18:24s,2.69E+01,2.42E+01,2.48E+01,2.08E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:18:25s,2.69E+01,2.43E+01,2.48E+01,2.08E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:18:26s,2.50E+01,2.43E+01,2.48E+01,2.08E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:18:27s,2.50E+01,2.42E+01,2.48E+01,2.08E+01,2.05E+01,2.01E+01,1.30E+01
'18-09-24 10:18:28s,2.50E+01,2.42E+01,2.48E+01,2.08E+01,2.08E+01,2.01E+01,1.30E+01
'18-09-24 10:18:29s,2.50E+01,2.42E+01,2.48E+01,2.08E+01,2.08E+01,2.01E+01,1.30E+01
'18-09-24 10:18:30s,2.50E+01,2.42E+01,2.48E+01,2.08E+01,2.08E+01,2.01E+01,1.30E+01
'18-09-24 10:18:31s,2.50E+01,2.42E+01,2.48E+01,2.08E+01,2.08E+01,2.01E+01,1.30E+01
'18-09-24 10:18:32s,2.50E+01,2.43E+01,2.48E+01,2.08E+01,2.08E+01,2.01E+01,1.30E+01
'18-09-24 10:18:33s,2.50E+01,2.43E+01,2.48E+01,2.08E+01,2.08E+01,2.01E+01,1.30E+01
'18-09-24 10:18:34s,2.50E+01,2.43E+01,2.48E+01,2.08E+01,2.08E+01,2.01E+01,1.30E+01
'18-09-24 10:18:35s,2.69E+01,2.43E+01,2.48E+01,2.08E+01,2.08E+01,2.01E+01,1.30E+01
'18-09-24 10:18:36s,2.69E+01,2.41E+01,2.48E+01,2.08E+01,2.08E+01,2.01E+01,1.30E+01
'18-09-24 10:18:37s,2.69E+01,2.43E+01,2.48E+01,2.08E+01,2.08E+01,2.01E+01,1.30E+01
'18-09-24 10:18:38s,2.69E+01,2.42E+01,2.48E+01,2.08E+01,2.08E+01,2.01E+01,1.30E+01
'18-09-24 10:18:39s,2.69E+01,2.42E+01,2.48E+01,2.08E+01,2.08E+01,2.01E+01,1.30E+01
'18-09-24 10:18:40s,2.69E+01,2.42E+01,2.48E+01,2.08E+01,2.08E+01,2.01E+01,1.30E+01
'18-09-24 10:18:41s,2.50E+01,2.42E+01,2.48E+01,2.08E+01,2.08E+01,2.01E+01,1.30E+01
'18-09-24 10:18:42s,2.50E+01,2.43E+01,2.48E+01,2.08E+01,2.08E+01,2.01E+01,1.30E+01
'18-09-24 10:18:43s,2.50E+01,2.42E+01,2.48E+01,2.08E+01,2.08E+01,2.01E+01,1.30E+01
