,time,f,f2
0,0.0,-0.01,-0.24997953353663074
1,0.01,-0.018000000000000002,-0.24904316168594565
2,0.02,-0.02,-0.24810428571660012
3,0.03,-0.015,-0.24716293540915746
4,0.04,-0.011000000000000001,-0.24621914059423594
5,0.05,-0.01,-0.24527293115152196
6,0.06,-0.015,-0.24432433700878275
7,0.07,-0.013000000000000001,-0.24337338814087606
8,0.08,-0.006999999999999999,-0.2424201145687599
9,0.09,-0.001,-0.24146454635849895
10,0.1,0.003,-0.24050671362027193
11,0.11,0.001,-0.23954664650737403
12,0.12,0.001,-0.23858437521522188
13,0.13,0.001,-0.23761992998035383
14,0.14,-0.006,-0.2366533410794312
15,0.15,-0.011000000000000001,-0.23568463882823576
16,0.16,-0.002,-0.2347138535806695
17,0.17,-0.005,-0.23374101572774905
18,0.18,-0.005,-0.23276615569660214
19,0.19,0.0,-0.23178930394946126
20,0.2,-0.008,-0.23081049098265582
21,0.21,-0.002,-0.22982974732560574
22,0.22,-0.002,-0.22884710353980958
23,0.23,-0.003,-0.22786259021783642
24,0.24,0.003,-0.2268762379823137
25,0.25,-0.005,-0.22588807748491416
26,0.26,-0.002,-0.22489813940534373
27,0.27,0.008,-0.22390645445032675
28,0.28,0.004,-0.2229130533525909
29,0.29,0.004,-0.22191796686985155
30,0.3,0.016,-0.22092122578379517
31,0.31,0.03,-0.2199228608990615
32,0.32,0.023,-0.21892290304222572
33,0.33,0.002,-0.2179213830607798
34,0.34,-0.002,-0.2169183318221127
35,0.35000000000000003,-0.006999999999999999,-0.2159137802124904
36,0.36,-0.009000000000000001,-0.21490775913603447
37,0.37,-0.004,-0.21390029951370282
38,0.38,-0.013000000000000001,-0.21289143228226587
39,0.39,-0.025,-0.2118811883932853
40,0.4,-0.028999999999999998,-0.21086959881209147
41,0.41000000000000003,-0.017,-0.20985669451675978
42,0.42,-0.016,-0.20884250649708852
43,0.43,-0.022000000000000002,-0.20782706575357307
44,0.44,-0.013999999999999999,-0.20681040329638356
45,0.45,0.003,-0.20579255014434075
46,0.46,0.024,-0.2047735373238898
47,0.47000000000000003,0.016,-0.20375339586807667
48,0.48,0.01,-0.202732156815524
49,0.49,0.015,-0.20170985120940402
50,0.5,0.004,-0.20068651009641572
51,0.51,0.006,-0.19966216452575866
52,0.52,0.006999999999999999,-0.19863684554810707
53,0.53,-0.002,-0.19761058421458677
54,0.54,-0.006999999999999999,-0.19658341157574827
55,0.55,-0.015,-0.19555535868054313
56,0.56,-0.016,-0.19452645657529805
57,0.5700000000000001,-0.013999999999999999,-0.19349673630269124
58,0.58,-0.018000000000000002,-0.19246622890072745
59,0.59,-0.013999999999999999,-0.19143496540171434
60,0.6,-0.006999999999999999,-0.19040297683123739
61,0.61,-0.016,-0.1893702942071382
62,0.62,-0.019,-0.1883369485384895
63,0.63,-0.019,-0.18730297082457315
64,0.64,-0.021,-0.1862683920538577
65,0.65,-0.017,-0.18523324320297643
66,0.66,-0.022000000000000002,-0.1841975552357061
67,0.67,-0.013000000000000001,-0.18316135910194528
68,0.68,-0.003,-0.18212468573669488
69,0.6900000000000001,-0.009000000000000001,-0.1810875660590374
70,0.7000000000000001,-0.002,-0.18005003097111924
71,0.71,0.001,-0.17901211135713085
72,0.72,0.003,-0.17797383808228984
73,0.73,0.009000000000000001,-0.1769352419918238
74,0.74,0.002,-0.1758963539099539
75,0.75,0.002,-0.17485720463887977
76,0.76,0.005,-0.1738178249577651
77,0.77,-0.002,-0.17277824562172361
78,0.78,-0.006,-0.17173849736080635
79,0.79,-0.008,-0.17069861087899055
80,0.8,-0.008,-0.1696586168531684
81,0.81,0.006999999999999999,-0.1686185459321372
82,0.8200000000000001,0.016,-0.16757842873559092
83,0.8300000000000001,0.012,-0.16653829585311328
84,0.84,0.008,-0.16549817784316975
85,0.85,0.01,-0.1644581052321044
86,0.86,0.019,-0.163418108513134
87,0.87,0.008,-0.16237821814534698
88,0.88,-0.003,-0.16133846455269985
89,0.89,-0.001,-0.16029887812301935
90,0.9,0.001,-0.15925948920700217
91,0.91,0.006999999999999999,-0.15822032811721795
92,0.92,0.009000000000000001,-0.15718142512711314
93,0.93,0.013000000000000001,-0.1561428104700168
94,0.9400000000000001,-0.001,-0.15510451433814734
95,0.9500000000000001,-0.013000000000000001,-0.15406656688162076
96,0.96,-0.005,-0.15302899820746135
97,0.97,-0.01,-0.15199183837861294
98,0.98,-0.022000000000000002,-0.15095511741295198
99,0.99,-0.02,-0.14991886528230344
100,1.0,-0.013999999999999999,-0.14888311191145576
101,1.01,-0.01,-0.1478478871771814
102,1.02,-0.004,-0.14681322090725538
103,1.03,0.003,-0.14577914287947805
104,1.04,0.008,-0.1447456828206988
105,1.05,0.003,-0.1437128704058413
106,1.06,-0.004,-0.14268073525693273
107,1.07,-0.006999999999999999,-0.1416493069421308
108,1.08,-0.012,-0.14061861497475783
109,1.09,-0.013999999999999999,-0.13958868881233258
110,1.1,-0.02,-0.13855955785560714
111,1.11,-0.022000000000000002,-0.13753125144760409
112,1.12,-0.017,-0.13650379887265585
113,1.1300000000000001,-0.023,-0.13547722935544773
114,1.1400000000000001,-0.027000000000000003,-0.1344515720600617
115,1.1500000000000001,-0.03,-0.13342685608902244
116,1.16,-0.023,-0.1324031104823461
117,1.17,-0.005,-0.13138036421659224
118,1.18,0.009000000000000001,-0.13035864620391574
119,1.19,0.012,-0.1293379852911237
120,1.2,0.01,-0.1283184102587327
121,1.21,0.01,-0.1272999498200292
122,1.22,0.006999999999999999,-0.12628263262013315
123,1.23,0.008,-0.12526648723506287
124,1.24,0.005,-0.12425154217080342
125,1.25,-0.002,-0.12323782586237642
126,1.26,-0.001,-0.1222253666729145
127,1.27,0.0,-0.12121419289273577
128,1.28,0.003,-0.12020433273842206
